Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Date
Standard Class,Corporate,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Art,10.96,4,0.0,2.9592,2020-04-27 08:24:29.828880216
Standard Class,Corporate,United States,Grapevine,Texas,76051,Central,Office Supplies,Art,33.488,7,0.2,5.8604,2020-04-27 10:10:50.615430802
Standard Class,Corporate,United States,Grapevine,Texas,76051,Central,Office Supplies,Fasteners,8.04,5,0.2,2.9145,2020-04-27 11:57:11.401981388
Second Class,Consumer,United States,Olympia,Washington,98502,West,Technology,Phones,201.568,4,0.2,22.6764,2020-04-27 13:43:32.188531972
Same Day,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,13.44,3,0.0,6.5856,2020-04-27 15:29:52.975082558
First Class,Home Office,United States,Peoria,Illinois,61604,Central,Furniture,Bookcases,359.058,3,0.3,-35.9058,2020-04-27 17:16:13.761633144
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,47.992,2,0.3,-2.0568,2020-04-27 19:02:34.548183730
First Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,547.3,13,0.0,175.136,2020-04-27 20:48:55.334734314
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Paper,16.896,4,0.2,5.28,2020-04-27 22:35:16.121284900
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Supplies,6.672,1,0.2,0.5004,2020-04-28 00:21:36.907835486
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Art,99.136,4,0.2,8.6744,2020-04-28 02:07:57.694386070
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Furniture,Furnishings,15.992,2,0.6,-13.993,2020-04-28 03:54:18.480936656
Second Class,Corporate,United States,Dover,Delaware,19901,East,Furniture,Furnishings,211.96,2,0.0,42.392,2020-04-28 05:40:39.267487242
Standard Class,Consumer,United States,Smyrna,Tennessee,37167,South,Office Supplies,Art,6.672,3,0.2,1.668,2020-04-28 07:27:00.054037828
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Art,155.94,6,0.0,45.2226,2020-04-28 09:13:20.840588412
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Phones,39.96,5,0.2,12.987,2020-04-28 10:59:41.627138998
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Art,5.46,3,0.0,1.5288,2020-04-28 12:46:02.413689584
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Art,73.2,5,0.0,21.228,2020-04-28 14:32:23.200240168
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,5.84,1,0.2,1.971,2020-04-28 16:18:43.986790754
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,22.72,4,0.0,10.224,2020-04-28 18:05:04.773341340
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,9.336,3,0.2,3.2676,2020-04-28 19:51:25.559891924
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Furniture,Bookcases,290.666,2,0.15,27.3568,2020-04-28 21:37:46.346442510
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,201.584,2,0.2,20.1584,2020-04-28 23:24:07.132993096
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,83.984,2,0.2,31.494,2020-04-29 01:10:27.919543682
Standard Class,Corporate,United States,Oakland,California,94601,West,Office Supplies,Storage,1000.02,7,0.0,290.0058,2020-04-29 02:56:48.706094266
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,83.976,3,0.2,-13.6461,2020-04-29 04:43:09.492644852
Standard Class,Home Office,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,3.75,1,0.0,1.8,2020-04-29 06:29:30.279195438
Standard Class,Home Office,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels,41.4,4,0.0,19.872,2020-04-29 08:15:51.065746022
Standard Class,Home Office,United States,Eagan,Minnesota,55122,Central,Office Supplies,Art,29.79,3,0.0,12.5118,2020-04-29 10:02:11.852296608
Second Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Storage,59.48,2,0.0,8.922,2020-04-29 11:48:32.638847194
Second Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Paper,6.69,1,0.0,3.0774,2020-04-29 13:34:53.425397780
Standard Class,Consumer,United States,Kent,Washington,98031,West,Furniture,Furnishings,198.46,2,0.0,99.23,2020-04-29 15:21:14.211948364
Standard Class,Consumer,United States,Kent,Washington,98031,West,Office Supplies,Labels,786.48,8,0.0,385.3752,2020-04-29 17:07:34.998498950
Standard Class,Consumer,United States,Kent,Washington,98031,West,Office Supplies,Binders,23.168,2,0.2,7.8192,2020-04-29 18:53:55.785049536
Standard Class,Consumer,United States,Kent,Washington,98031,West,Technology,Accessories,50.0,2,0.0,10.5,2020-04-29 20:40:16.571600120
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Phones,675.96,5,0.2,84.495,2020-04-29 22:26:37.358150706
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,1265.85,3,0.0,556.974,2020-04-30 00:12:58.144701292
Standard Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,523.25,5,0.0,141.2775,2020-04-30 01:59:18.931251876
Standard Class,Consumer,United States,Lafayette,Louisiana,70506,South,Furniture,Chairs,517.5,6,0.0,155.25,2020-04-30 03:45:39.717802462
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Furnishings,17.92,5,0.2,2.464,2020-04-30 05:32:00.504353048
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Binders,41.256,6,0.7,-34.38,2020-04-30 07:18:21.290903634
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Storage,1006.056,3,0.2,88.0299,2020-04-30 09:04:42.077454218
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Paper,10.688,2,0.2,3.7408,2020-04-30 10:51:02.864004804
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Paper,10.368,2,0.2,3.6288,2020-04-30 12:37:23.650555390
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Office Supplies,Storage,25.12,2,0.2,1.57,2020-04-30 14:23:44.437105974
Same Day,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Accessories,58.112,2,0.2,7.264,2020-04-30 16:10:05.223656560
Standard Class,Consumer,United States,Tigard,Oregon,97224,West,Office Supplies,Paper,15.552,3,0.2,5.4432,2020-04-30 17:56:26.010207146
Standard Class,Consumer,United States,Tigard,Oregon,97224,West,Office Supplies,Storage,669.08,5,0.2,-167.27,2020-04-30 19:42:46.796757732
Standard Class,Consumer,United States,Tigard,Oregon,97224,West,Technology,Phones,438.336,4,0.2,-87.6672,2020-04-30 21:29:07.583308316
Standard Class,Consumer,United States,Washington,District of Columbia,20016,East,Office Supplies,Paper,19.44,3,0.0,9.3312,2020-04-30 23:15:28.369858902
Standard Class,Consumer,United States,Washington,District of Columbia,20016,East,Office Supplies,Binders,9.64,2,0.0,4.4344,2020-05-01 01:01:49.156409488
Standard Class,Consumer,United States,Washington,District of Columbia,20016,East,Office Supplies,Paper,12.7,2,0.0,5.842,2020-05-01 02:48:09.942960072
Standard Class,Consumer,United States,Washington,District of Columbia,20016,East,Furniture,Furnishings,41.37,3,0.0,17.3754,2020-05-01 04:34:30.729510658
Standard Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Fasteners,12.624,2,0.2,3.945,2020-05-01 06:20:51.516061244
First Class,Corporate,United States,Seattle,Washington,98115,West,Office Supplies,Storage,1247.64,3,0.0,349.3392,2020-05-01 08:07:12.302611828
First Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Copiers,3149.93,7,0.0,1480.4671,2020-05-01 09:53:33.089162414
First Class,Corporate,United States,Seattle,Washington,98115,West,Office Supplies,Paper,209.7,2,0.0,100.656,2020-05-01 11:39:53.875713000
First Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,35.36,2,0.2,-3.094,2020-05-01 13:26:14.662263586
First Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Fasteners,3.168,2,0.2,-0.7128,2020-05-01 15:12:35.448814170
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,121.104,6,0.7,-100.92,2020-05-01 16:58:56.235364756
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,45.894,1,0.4,-9.1788,2020-05-01 18:45:17.021915342
Same Day,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,109.92,2,0.0,53.8608,2020-05-01 20:31:37.808465926
Same Day,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,13.36,2,0.0,6.4128,2020-05-01 22:17:58.595016512
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,169.68,6,0.0,45.8136,2020-05-02 00:04:19.381567098
First Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,132.52,4,0.0,54.3332,2020-05-02 01:50:40.168117682
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,2.96,2,0.0,1.4208,2020-05-02 03:37:00.954668268
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,8.448,2,0.2,2.9568,2020-05-02 05:23:21.741218854
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,95.94,3,0.0,9.594,2020-05-02 07:09:42.527769440
First Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,34.79,7,0.0,10.7849,2020-05-02 08:56:03.314320024
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,160.776,3,0.2,10.0485,2020-05-02 10:42:24.100870610
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,88.752,3,0.2,27.735,2020-05-02 12:28:44.887421196
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,13.904,2,0.2,5.214,2020-05-02 14:15:05.673971780
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,677.58,5,0.4,-158.102,2020-05-02 16:01:26.460522366
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,13.896,3,0.7,-9.264,2020-05-02 17:47:47.247072952
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,41.92,5,0.2,3.668,2020-05-02 19:34:08.033623538
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Technology,Accessories,297.576,3,0.2,-7.4394,2020-05-02 21:20:28.820174122
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Fasteners,4.344,3,0.2,0.8688,2020-05-02 23:06:49.606724708
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Technology,Accessories,94.992,2,0.2,-2.3748,2020-05-03 00:53:10.393275294
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,74.352,3,0.2,23.235,2020-05-03 02:39:31.179825878
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Art,14.04,3,0.2,1.5795,2020-05-03 04:25:51.966376464
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Tables,1018.104,4,0.4,-373.3048,2020-05-03 06:12:12.752927050
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,16.68,3,0.2,5.2125,2020-05-03 07:58:33.539477634
First Class,Corporate,United States,North Las Vegas,Nevada,89031,West,Technology,Accessories,58.58,2,0.0,19.3314,2020-05-03 09:44:54.326028220
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Phones,167.968,4,0.2,62.988,2020-05-03 11:31:15.112578806
First Class,Consumer,United States,Suffolk,Virginia,23434,South,Office Supplies,Labels,196.62,2,0.0,96.3438,2020-05-03 13:17:35.899129392
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,21.936,2,0.6,-10.4196,2020-05-03 15:03:56.685679976
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,6.588,3,0.8,-10.2114,2020-05-03 16:50:17.472230562
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Storage,104.28,3,0.0,26.07,2020-05-03 18:36:38.258781148
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,17.94,3,0.0,8.7906,2020-05-03 20:22:59.045331732
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,64.784,1,0.2,-14.5764,2020-05-03 22:09:19.831882318
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,32.382,3,0.4,4.3176,2020-05-03 23:55:40.618432904
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,42.368,2,0.2,8.4736,2020-05-04 01:42:01.404983490
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Machines,399.54,4,0.7,-559.356,2020-05-04 03:28:22.191534074
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,18.97,1,0.0,9.1056,2020-05-04 05:14:42.978084660
Standard Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,14.82,3,0.0,6.2244,2020-05-04 07:01:03.764635246
First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Appliances,99.28,2,0.2,12.41,2020-05-04 08:47:24.551185830
First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,1.188,2,0.7,-0.99,2020-05-04 10:33:45.337736416
First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,7.518,2,0.7,-5.7638,2020-05-04 12:20:06.124287002
First Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,10.368,2,0.2,3.6288,2020-05-04 14:06:26.910837586
First Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,310.88,2,0.2,23.316,2020-05-04 15:52:47.697388172
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,853.092,6,0.4,-227.4912,2020-05-04 17:39:08.483938758
Standard Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Paper,33.45,5,0.0,15.387,2020-05-04 19:25:29.270489344
Standard Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Binders,10.4,5,0.0,5.096,2020-05-04 21:11:50.057039928
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Furnishings,21.88,5,0.2,6.2905,2020-05-04 22:58:10.843590514
Second Class,Home Office,United States,Plano,Texas,75023,Central,Technology,Accessories,13.616,2,0.2,3.5742,2020-05-05 00:44:31.630141100
Second Class,Home Office,United States,Bayonne,New Jersey,7002,East,Technology,Accessories,63.96,4,0.0,19.8276,2020-05-05 02:30:52.416691684
Second Class,Home Office,United States,Bayonne,New Jersey,7002,East,Office Supplies,Binders,14.46,3,0.0,7.0854,2020-05-05 04:17:13.203242270
Second Class,Home Office,United States,Bayonne,New Jersey,7002,East,Technology,Phones,104.98,2,0.0,52.49,2020-05-05 06:03:33.989792856
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Appliances,106.96,2,0.0,31.0184,2020-05-05 07:49:54.776343442
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Labels,21.56,7,0.0,10.3488,2020-05-05 09:36:15.562894026
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Tables,515.88,6,0.0,113.4936,2020-05-05 11:22:36.349444612
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,11.808,2,0.2,4.2804,2020-05-05 13:08:57.135995198
Second Class,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,1931.04,9,0.1,321.84,2020-05-05 14:55:17.922545782
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,9.96,2,0.0,4.6812,2020-05-05 16:41:38.709096368
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Fasteners,12.35,5,0.0,5.8045,2020-05-05 18:27:59.495646954
Same Day,Consumer,United States,Glendale,Arizona,85301,West,Office Supplies,Binders,9.702,3,0.7,-7.1148,2020-05-05 20:14:20.282197538
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,11.61,2,0.7,-9.288,2020-05-05 22:00:41.068748124
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Labels,43.86,6,0.0,20.6142,2020-05-05 23:47:01.855298710
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,148.48,2,0.2,16.704,2020-05-06 01:33:22.641849296
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,7.42,2,0.0,3.71,2020-05-06 03:19:43.428399880
Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Chairs,71.992,1,0.2,-0.8999,2020-05-06 05:06:04.214950466
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,19.9,5,0.0,6.567,2020-05-06 06:52:25.001501052
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,1702.12,14,0.0,510.636,2020-05-06 08:38:45.788051636
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Paper,14.304,6,0.2,5.0064,2020-05-06 10:25:06.574602222
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,765.625,7,0.5,-566.5625,2020-05-06 12:11:27.361152808
Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Bookcases,307.666,2,0.15,-14.4784,2020-05-06 13:57:48.147703394
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,7.712,2,0.2,2.7956,2020-05-06 15:44:08.934253978
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Appliances,242.9,5,0.0,70.441,2020-05-06 17:30:29.720804564
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,454.9,5,0.0,0.0,2020-05-06 19:16:50.507355150
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,35.92,4,0.0,15.0864,2020-05-06 21:03:11.293905734
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,39.76,8,0.0,12.3256,2020-05-06 22:49:32.080456320
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,47.744,4,0.2,14.92,2020-05-07 00:35:52.867006906
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Phones,159.984,2,0.2,11.9988,2020-05-07 02:22:13.653557490
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Accessories,255.968,4,0.2,51.1936,2020-05-07 04:08:34.440108076
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,359.058,3,0.3,-71.8116,2020-05-07 05:54:55.226658662
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Appliances,434.352,3,0.2,43.4352,2020-05-07 07:41:16.013209248
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Appliances,3.552,2,0.2,0.444,2020-05-07 09:27:36.799759832
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Appliances,88.832,4,0.2,7.7728,2020-05-07 11:13:57.586310418
Second Class,Corporate,United States,Dublin,Ohio,43017,East,Furniture,Tables,1048.35,5,0.4,-69.89,2020-05-07 13:00:18.372861004
Same Day,Consumer,United States,Springfield,Virginia,22153,South,Technology,Accessories,100.0,4,0.0,21.0,2020-05-07 14:46:39.159411588
Same Day,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Labels,7.83,3,0.0,3.6018,2020-05-07 16:32:59.945962174
Standard Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper,96.256,8,0.2,31.2832,2020-05-07 18:19:20.732512760
Standard Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper,10.688,2,0.2,3.7408,2020-05-07 20:05:41.519063344
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,338.04,3,0.2,-33.804,2020-05-07 21:52:02.305613930
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Art,154.24,4,0.2,17.352,2020-05-07 23:38:23.092164516
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Appliances,34.848,2,0.2,6.534,2020-05-08 01:24:43.878715102
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,22.0,5,0.2,1.375,2020-05-08 03:11:04.665265686
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Art,4.368,3,0.2,0.3822,2020-05-08 04:57:25.451816272
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Storage,31.44,3,0.0,8.4888,2020-05-08 06:43:46.238366858
Standard Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,17.9,2,0.0,3.401,2020-05-08 08:30:07.024917442
Standard Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,129.45,5,0.0,46.602,2020-05-08 10:16:27.811468028
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Labels,20.88,8,0.0,9.6048,2020-05-08 12:02:48.598018614
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,20.736,4,0.2,7.2576,2020-05-08 13:49:09.384569200
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,7.168,2,0.2,0.9856,2020-05-08 15:35:30.171119784
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,11.168,2,0.2,-2.5128,2020-05-08 17:21:50.957670370
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,442.4,7,0.2,-55.3,2020-05-08 19:08:11.744220956
First Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Art,13.36,2,0.0,4.9432,2020-05-08 20:54:32.530771540
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,11.232,8,0.7,-8.2368,2020-05-08 22:40:53.317322126
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,10.272,3,0.2,3.21,2020-05-09 00:27:14.103872712
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,2020-05-09 02:13:34.890423296
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Art,6.24,3,0.2,0.546,2020-05-09 03:59:55.676973882
Standard Class,Home Office,United States,San Antonio,Texas,78207,Central,Furniture,Tables,206.962,2,0.3,-32.5226,2020-05-09 05:46:16.463524468
First Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,9.46,2,0.0,3.6894,2020-05-09 07:32:37.250075054
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Storage,559.62,9,0.0,151.0974,2020-05-09 09:18:58.036625638
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,109.92,2,0.0,53.8608,2020-05-09 11:05:18.823176224
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,8.56,2,0.0,3.852,2020-05-09 12:51:39.609726810
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,360.712,11,0.2,130.7581,2020-05-09 14:38:00.396277394
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Technology,Phones,1718.4,6,0.2,150.36,2020-05-09 16:24:21.182827980
First Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,41.568,6,0.8,-66.5088,2020-05-09 18:10:41.969378566
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Accessories,46.864,2,0.2,7.6154,2020-05-09 19:57:02.755929152
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Art,19.536,3,0.2,4.884,2020-05-09 21:43:23.542479736
Standard Class,Consumer,United States,San Diego,California,92105,West,Furniture,Bookcases,411.332,4,0.15,-4.8392,2020-05-09 23:29:44.329030322
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Binders,28.752,6,0.2,9.7038,2020-05-10 01:16:05.115580908
Standard Class,Consumer,United States,San Diego,California,92105,West,Furniture,Bookcases,293.199,3,0.15,-20.6964,2020-05-10 03:02:25.902131492
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Office Supplies,Supplies,35.06,2,0.0,10.518,2020-05-10 04:48:46.688682078
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Office Supplies,Labels,4.13,1,0.0,1.8998,2020-05-10 06:35:07.475232664
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Furniture,Furnishings,109.8,9,0.0,46.116,2020-05-10 08:21:28.261783248
Standard Class,Home Office,United States,Suffolk,Virginia,23434,South,Office Supplies,Labels,9.82,2,0.0,4.8118,2020-05-10 10:07:49.048333834
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Office Supplies,Binders,7.644,4,0.7,-5.8604,2020-05-10 11:54:09.834884420
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Office Supplies,Binders,51.465,5,0.7,-39.4565,2020-05-10 13:40:30.621435006
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Supplies,6.976,4,0.2,-1.3952,2020-05-10 15:26:51.407985590
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,12.222,7,0.8,-20.1663,2020-05-10 17:13:12.194536176
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,97.984,2,0.2,-24.496,2020-05-10 18:59:32.981086762
Second Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,62.4,6,0.2,19.5,2020-05-10 20:45:53.767637346
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Binders,20.86,2,0.0,9.387,2020-05-10 22:32:14.554187932
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Storage,497.61,9,0.0,129.3786,2020-05-11 00:18:35.340738518
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Art,5.34,2,0.0,1.4952,2020-05-11 02:04:56.127289104
Standard Class,Corporate,United States,Baltimore,Maryland,21215,East,Office Supplies,Labels,3.15,1,0.0,1.512,2020-05-11 03:51:16.913839688
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,368.91,9,0.0,180.7659,2020-05-11 05:37:37.700390274
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Art,14.7,5,0.0,6.615,2020-05-11 07:23:58.486940860
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,59.97,3,0.0,14.9925,2020-05-11 09:10:19.273491444
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,83.36,1,0.0,20.84,2020-05-11 10:56:40.060042030
Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East,Office Supplies,Paper,6.58,2,0.0,3.0268,2020-05-11 12:43:00.846592616
Standard Class,Corporate,United States,Franklin,Massachusetts,2038,East,Office Supplies,Binders,122.94,3,0.0,59.0112,2020-05-11 14:29:21.633143200
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper,219.84,4,0.0,107.7216,2020-05-11 16:15:42.419693786
